subject,timestamp,marker,pupil_left,validity_left,pupil_right,validity_right,trial,time,event,pupil_left_old,pupil_right_old
42,1464956757662328,41,2.99385,0,3.0038,0,14,-1430.0280000000002,fixation,2.99385,3.0038
42,1464956757678953,41,3.01476,0,3.0235,0,14,-1413.4030000000002,fixation,3.01476,3.0235
42,1464956757695577,41,3.01764,0,3.00168,0,14,-1396.779,fixation,3.01764,3.00168
42,1464956757712200,41,3.02028,0,3.0388,0,14,-1380.156,fixation,3.02028,3.0388
42,1464956757728822,41,3.03322,0,3.00272,0,14,-1363.534,fixation,3.03322,3.00272
42,1464956757745577,41,3.03821,0,3.03551,0,14,-1346.779,fixation,3.03821,3.03551
42,1464956757762195,41,3.04167,0,3.01178,0,14,-1330.161,fixation,3.04167,3.01178
42,1464956757778820,41,3.04724,0,3.02118,0,14,-1313.536,fixation,3.04724,3.02118
42,1464956757795454,41,3.02936,0,3.07318,0,14,-1296.902,fixation,3.02936,3.07318
42,1464956757812193,41,3.02888,0,3.04257,0,14,-1280.163,fixation,3.02888,3.04257
42,1464956757828817,41,3.04674,0,3.02864,0,14,-1263.5390000000002,fixation,3.04674,3.02864
42,1464956757845441,41,3.05165,0,3.0766,0,14,-1246.915,fixation,3.05165,3.0766
42,1464956757862065,41,3.0336,0,3.04684,0,14,-1230.2910000000002,fixation,3.0336,3.04684
42,1464956757878690,41,3.00281,0,3.06425,0,14,-1213.6660000000002,fixation,3.00281,3.06425
42,1464956757895436,41,3.01538,0,3.04652,0,14,-1196.92,fixation,3.01538,3.04652
42,1464956757912060,41,3.03787,0,3.06265,0,14,-1180.2960000000003,fixation,3.03787,3.06265
42,1464956757928684,41,2.99709,0,3.06375,0,14,-1163.672,fixation,2.99709,3.06375
42,1464956757945308,41,3.03201,0,3.06552,0,14,-1147.0480000000002,fixation,3.03201,3.06552
42,1464956757962057,41,3.02582,0,3.05342,0,14,-1130.299,fixation,3.02582,3.05342
42,1464956757978682,41,3.01707,0,3.01843,0,14,-1113.674,fixation,3.01707,3.01843
42,1464956757995311,41,3.01003,0,3.04218,0,14,-1097.045,fixation,3.01003,3.04218
42,1464956758011930,41,3.01021,0,3.04581,0,14,-1080.426,fixation,3.01021,3.04581
42,1464956758028554,41,3.00446,0,3.07684,0,14,-1063.8020000000001,fixation,3.00446,3.07684
42,1464956758045303,41,3.03662,0,3.04535,0,14,-1047.0530000000003,fixation,3.03662,3.04535
42,1464956758061927,41,3.06004,0,3.08153,0,14,-1030.429,fixation,3.06004,3.08153
42,1464956758078548,41,3.0529,0,3.07315,0,14,-1013.808,fixation,3.0529,3.07315
42,1464956758095173,41,3.08681,0,3.069,0,14,-997.183,fixation,3.08681,3.069
42,1464956758111922,41,3.07185,0,3.0968,0,14,-980.4340000000002,fixation,3.07185,3.0968
42,1464956758128547,41,3.08395,0,3.08321,0,14,-963.8090000000002,fixation,3.08395,3.08321
42,1464956758145178,41,3.08969,0,3.09081,0,14,-947.1780000000003,fixation,3.08969,3.09081
42,1464956758161794,41,3.08051,0,3.12524,0,14,-930.5620000000004,fixation,3.08051,3.12524
42,1464956758178418,41,3.07068,0,3.13176,0,14,-913.9380000000001,fixation,3.07068,3.13176
42,1464956758195167,41,3.13167,0,3.13268,0,14,-897.1890000000003,fixation,3.13167,3.13268
42,1464956758211791,41,3.07538,0,3.15596,0,14,-880.565,fixation,3.07538,3.15596
42,1464956758228415,41,3.1107,0,3.15672,0,14,-863.9410000000003,fixation,3.1107,3.15672
42,1464956758245040,41,3.13232,0,3.15982,0,14,-847.3160000000003,fixation,3.13232,3.15982
42,1464956758261788,41,3.12666,0,3.18309,0,14,-830.5680000000002,fixation,3.12666,3.18309
42,1464956758278420,41,3.14716,0,3.15413,0,14,-813.9360000000001,fixation,3.14716,3.15413
42,1464956758295034,41,3.14127,0,3.15779,0,14,-797.3220000000001,fixation,3.14127,3.15779
42,1464956758311658,41,3.15007,0,3.15836,0,14,-780.6980000000003,fixation,3.15007,3.15836
42,1464956758328407,41,3.15085,0,3.15805,0,14,-763.9490000000001,fixation,3.15085,3.15805
42,1464956758345032,41,3.16493,0,3.16286,0,14,-747.3240000000001,fixation,3.16493,3.16286
42,1464956758361655,41,3.17374,0,3.1600799999999998,0,14,-730.701,fixation,3.17374,3.1600799999999998
42,1464956758378280,41,3.15802,0,3.16299,0,14,-714.076,fixation,3.15802,3.16299
42,1464956758394904,41,3.15099,0,3.21414,0,14,-697.4520000000002,fixation,3.15099,3.21414
42,1464956758411653,41,3.15837,0,3.18034,0,14,-680.703,fixation,3.15837,3.18034
42,1464956758428276,41,3.18744,0,3.15213,0,14,-664.0799999999999,fixation,3.18744,3.15213
42,1464956758444899,41,3.18501,0,3.1684,0,14,-647.4570000000003,fixation,3.18501,3.1684
42,1464956758461523,41,3.14709,0,3.17529,0,14,-630.8330000000001,fixation,3.14709,3.17529
42,1464956758478272,41,3.19479,0,3.17749,0,14,-614.0840000000003,fixation,3.19479,3.17749
42,1464956758494896,41,3.1879,0,3.17755,0,14,-597.46,fixation,3.1879,3.17755
42,1464956758511525,41,3.17802,0,3.16759,0,14,-580.8310000000001,fixation,3.17802,3.16759
42,1464956758528144,41,3.18176,0,3.17116,0,14,-564.212,fixation,3.18176,3.17116
42,1464956758544768,41,3.19069,0,3.17528,0,14,-547.5880000000002,fixation,3.19069,3.17528
42,1464956758561517,41,3.15976,0,3.21106,0,14,-530.8389999999999,fixation,3.15976,3.21106
42,1464956758578141,41,3.18547,0,3.21576,0,14,-514.2150000000001,fixation,3.18547,3.21576
42,1464956758594766,41,3.18188,0,3.22495,0,14,-497.59000000000015,fixation,3.18188,3.22495
42,1464956758611389,41,3.21077,0,3.22458,0,14,-480.9670000000001,fixation,3.21077,3.22458
42,1464956758628135,41,3.23776,0,3.24138,0,14,-464.221,fixation,3.23776,3.24138
42,1464956758644760,41,3.21173,0,3.22452,0,14,-447.596,fixation,3.21173,3.22452
42,1464956758661397,41,3.22311,0,3.22037,0,14,-430.9590000000003,fixation,3.22311,3.22037
42,1464956758678008,41,3.20667,0,3.23566,0,14,-414.3480000000004,fixation,3.20667,3.23566
42,1464956758694633,41,3.21989,0,3.23228,0,14,-397.7230000000004,fixation,3.21989,3.23228
42,1464956758711381,41,3.22183,0,3.233,0,14,-380.9749999999999,fixation,3.22183,3.233
42,1464956758728006,41,3.23457,0,3.2693,0,14,-364.3499999999999,fixation,3.23457,3.2693
42,1464956758744629,41,3.24199,0,3.25153,0,14,-347.7270000000003,fixation,3.24199,3.25153
42,1464956758761254,41,3.24602,0,3.26248,0,14,-331.1020000000003,fixation,3.24602,3.26248
42,1464956758778003,41,3.24178,0,3.26387,0,14,-314.3530000000005,fixation,3.24178,3.26387
42,1464956758794626,41,3.25978,0,3.24271,0,14,-297.73,fixation,3.25978,3.24271
42,1464956758811248,41,3.26804,0,3.25894,0,14,-281.1079999999997,fixation,3.26804,3.25894
